1;1;1182381
1;2;835883
1;3;2085048
1;4;768874
1;5;967889
1;6;2455862
1;7;821525
1;8;2052084
1;9;1571463
1;10;2931444
1;11;1481648
1;12;2231844
2;1;2276742
2;2;2727050
2;3;1317932
2;4;2900328
2;5;670264
2;6;965756
2;7;1681600
2;8;1443612
2;9;1987358
2;10;607750
2;11;2865342
2;12;762481
3;1;866821
3;2;966028
3;3;1711048
3;4;1143907
3;5;2788994
3;6;2726729
3;7;2996760
3;8;1904972
3;9;993533
3;10;1362874
3;11;2229445
3;12;2144774
4;1;1905283
4;2;1507280
4;3;2732797
4;4;1424081
4;5;528098
4;6;1265049
4;7;514874
4;8;1794020
4;9;958340
4;10;2433893
4;11;821322
4;12;2782534
5;1;633328
5;2;2255085
5;3;518766
5;4;1723274
5;5;854951
5;6;1018074
5;7;2703528
5;8;1521566
5;9;1170114
5;10;2588927
5;11;1610484
5;12;866304
